,acuracia,acuracia_balanceada,precisao,recall,f1,auc_roc,auc_pr
SINAN isolado,0.7002,0.6616,0.0518,0.621,0.0956,0.7212,0.0766
SINAN + CNES + IBGE,0.708,0.677,0.0549,0.6443,0.1012,0.7364,0.0796
