competencia,cod_municipio,CNES,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,leitos,leitos_sus,leitos_uti,leitos_uti_sus,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS,flag_inconsistencia
202510,150540,2313669,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150820,2314002,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150130,2314037,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150260,2314312,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150700,2314436,E,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150620,2314819,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,251620,2315149,D,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,40,18,13,8,13,8,0,0,0,0,0,0,0,0,0
202510,260440,2315165,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,261560,2315300,M,05,HOSPITAL GERAL,2135,HOSPITAL_PRIVADO,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,261000,2315343,D,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,128,103,30,20,20,20,10,0,0,0,0,0,0,0,0
202510,220830,2315386,M,07,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,250400,2315793,D,05,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,151,105,26,12,16,7,0,0,10,5,0,0,0,0,0
202510,150490,2316005,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150570,2316013,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150770,2316021,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150030,2316048,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150630,2316064,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150250,2316080,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150640,2316161,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150200,2316234,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150442,2316471,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150790,2316552,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150613,2316641,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,56,55,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150613,2316668,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,49,0,9,0,9,0,0,0,0,0,0,0,0,0,0
202510,150390,2316757,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150812,2317028,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150330,2317397,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150340,2317931,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150720,2317958,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150616,2317990,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150276,2318059,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150808,2318172,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150808,2318180,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,50,44,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150616,2318326,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150010,2318482,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,78,72,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150550,2318628,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150550,2318644,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150550,2318652,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150010,2318660,E,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,131,96,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150543,2318865,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,261160,2319187,E,07,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,261640,2319233,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,260080,2319284,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,260790,2319454,D,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,165,123,71,70,20,20,21,20,30,30,0,0,0,0,0
202510,140010,2319659,E,05,HOSPITAL GERAL,1236,HOSPITAL_PÚBLICO,420,415,47,47,47,47,0,0,0,0,0,0,0,0,0
202510,140005,2319950,E,15,UNIDADE MISTA,1236,HOSPITAL_PÚBLICO,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,140015,2320045,E,05,HOSPITAL GERAL,1236,HOSPITAL_PÚBLICO,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,140040,2320541,E,15,UNIDADE MISTA,1236,HOSPITAL_PÚBLICO,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,140010,2320681,M,07,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,186,186,20,20,0,0,20,20,0,0,0,0,0,0,0
202510,140028,2320762,E,15,UNIDADE MISTA,1236,HOSPITAL_PÚBLICO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,140060,2320800,E,05,HOSPITAL GERAL,1236,HOSPITAL_PÚBLICO,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,140030,2320886,E,05,HOSPITAL GERAL,1236,HOSPITAL_PÚBLICO,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,251340,2321122,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,250340,2321386,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,251670,2321556,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,250800,2321572,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,251230,2321637,M,15,UNIDADE MISTA,1023,HOSPITAL_PÚBLICO,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,251203,2321831,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,250240,2321963,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,250020,2322153,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,250660,2322188,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,250600,2322706,D,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,251690,2322730,D,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,150543,2322935,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220750,2323206,E,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221100,2323249,E,07,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,108,108,18,18,0,0,18,18,0,0,0,0,0,0,0
202510,221100,2323257,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,85,0,7,0,7,0,0,0,0,0,0,0,0,0,0
202510,221100,2323281,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,136,33,21,10,21,10,0,0,0,0,0,0,0,0,0
